,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,fork,court,court,107685
1,mangrov,state,fork,107685
2,abort,v,assess,107685
3,shell,case,juri,107685
4,pearc,sct,indiana,107685
5,victim,petition,mangrov,107685
6,kirtsaeng,act,card,107685
7,card,us,led2d,107685
8,richardson,defend,petition,107685
9,bent,juri,abort,107685
10,dobbin,upon,pearc,107685
11,nelson,appeal,murder,107685
12,sham,compani,shell,107685
13,bank,led2d,kirtsaeng,107685
14,supervisor,decre,decre,107685
15,indian,unit,victim,107685
16,541c2,law,bent,107685
17,2282,claim,richardson,107685
18,tribe,plaintiff,toledo,107685
19,tribal,u,dobbin,107685
20,indiana,tax,search,107685
21,bagg,assess,town,107685
22,arbitr,trial,sham,107685
23,patent,circuit,nelson,107685
24,conspiraci,land,541c2,107685
25,reissu,made,mortgag,107685
26,toledo,right,2282,107685
27,moragn,jurisdict,pre,107685
28,murder,said,trial,107685
29,unsel,may,bagg,107685
30,13t,error,unsel,107685
31,delpho,§,supervisor,107685
32,assess,question,moragn,107685
33,juri,bond,sct,107685
34,mcdonogh,co,13t,107685
35,machin,district,delpho,107685
36,bond,see,tribal,107685
37,whiski,c,copyright,107685
38,quartermastergener,one,mcdonogh,107685
39,radio,evid,appeal,107685
40,corpor,corpor,1924,107685
41,charterparti,mortgag,martin,107685
42,dali,would,reissu,107685
43,advertis,indiana,quartermastergener,107685
44,bloom,judgment,bloom,107685
45,nonbankruptci,fork,1900,107685
46,broadcast,mr,dali,107685
47,town,issu,maxwel,107685
48,search,bank,nonbankruptci,107685
49,dupard,ct,whiski,107685
50,death,petit,waiver,107685
51,1900,caus,circuit,107685
52,emption,opinion,machin,107685
53,court,section,charterparti,107685
54,maritim,govern,radio,107685
55,mortgag,l,houston,107685
56,land,suit,dupard,107685
57,manufactur,feder,conspiraci,107685
58,dean,properti,columbia,107685
59,ohio,writ,tribe,107685
60,tallacca,gener,emption,107685
61,c,railroad,sentenc,107685
62,ohiovmarci,patent,advertis,107685
63,landoffic,ed,warrant,107685
64,duncan,constitut,broadcast,107685
65,waiver,2,arbitr,107685
66,decre,mangrov,landoffic,107685
67,habea,record,antitrust,107685
68,quarter,1,locat,107685
69,428660,murder,duncan,107685
70,claimant,stock,tallacca,107685
71,stock,amend,manufactur,107685
72,pepper,search,ohiovmarci,107685
73,california’,sentenc,ohio,107685
74,slave,grant,pepper,107685
75,sentenc,decis,dean,107685
76,locat,whether,cal,107685
77,lick,receiv,428660,107685
78,maxwel,town,death,107685
79,panama,use,retroact,107685
80,martin’,bill,california’,107685
81,vs,led,us,107685
82,miner,action,c,107685
83,mixter,card,martin’,107685
84,cogdel,board,lick,107685
85,noerr,time,petit,107685
86,tax,applic,mixter,107685
87,railroad,except,cogdel,107685
88,nation,rule,noerr,107685
89,1886,motion,wade,107685
90,pre,new,bond,107685
91,whittren,power,whittren,107685
92,companyvbarton,make,companyvbarton,107685
93,led2d,first,quarter,107685
94,nonmemb,shall,panama,107685
95,insul,reason,canneri,107685
96,canneri,abort,verdict,107685
97,famili,must,denver,107685
98,verdict,justic,stock,107685
99,trial,determin,flowag,107685
100,1924,death,fifth,107685
101,taxpay,taken,shoreland,107685
102,columbia,judg,dohsa,107685
103,flowag,contract,nonmemb,107685
104,erisa,purpos,insul,107685
105,wiley,without,signal,107685
106,copyright,victim,bostic,107685
107,signal,requir,wiley,107685
108,houston,could,miter,107685
109,dohsa,shell,burlington,107685
110,discoveri,pearc,shumat,107685
111,compani,order,entri,107685
112,shoreland,within,childbirth,107685
113,attach,notic,alfr,107685
114,bankruptci,interest,1886,107685
115,appeal,3,central,107685
116,kentucki,appel,paddock,107685
117,bostic,crimin,mcgregor,107685
118,state,ohio,1863,107685
119,receiv,due,maritim,107685
120,1863,person,claim,107685
121,burlington,complain,crime,107685
122,leas,f2d,arpen,107685
123,miter,warrant,f,107685
124,plan,parti,creat,107685
125,childbirth,titl,crimin,107685
126,carrier,author,assur,107685
127,shumat,kirtsaeng,doswel,107685
128,lake,statut,brumbach,107685
